,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
71,Hyundai Elite i20,Hyundai,2016,"99,774 km",Petrol,Manual,"EMI ₹7,830/m*",₹3.52 lakh
72,Hyundai Elite i20,Hyundai,2016,"47,421 km",Petrol,Manual,"EMI ₹9,587/m*",₹4.31 lakh
73,KIA SONET,KIA,2020,"68,265 km",Petrol,Manual,"EMI ₹10,715/m*",₹6.07 lakh
74,Honda WR-V,Honda,2018,"1,11,028 km",Diesel,Manual,"EMI ₹10,655/m*",₹4.79 lakh
75,Hyundai VENUE,Hyundai,2021,"57,326 km",Petrol,Manual,"EMI ₹11,781/m*",₹6.67 lakh
76,Tata Indigo ECS,Tata,2013,"98,911 km",Diesel,Manual,"EMI ₹12,972/m*",₹1.46 lakh
77,Volkswagen Vento,Volkswagen,2013,"1,08,521 km",Petrol,Manual,"EMI ₹13,322/m*",₹2.83 lakh
78,Volkswagen Polo,Volkswagen,2020,"1,18,306 km",Petrol,Auto,"EMI ₹12,949/m*",₹5.82 lakh
79,Hyundai Eon,Hyundai,2018,"23,509 km",Petrol,Manual,"EMI ₹5,190/m*",₹2.94 lakh
80,Volkswagen VIRTUS,Volkswagen,2022,"26,757 km",Petrol,Auto,"EMI ₹17,174/m*",₹10.03 lakh
81,Hyundai NEW SANTRO,Hyundai,2020,"48,012 km",Petrol,Manual,"EMI ₹6,443/m*",₹3.65 lakh
82,Skoda Rapid,Skoda,2018,"75,807 km",Diesel,Manual,"EMI ₹11,670/m*",₹5.97 lakh
83,Ford Ecosport,Ford,2020,"99,361 km",Diesel,Manual,"EMI ₹11,280/m*",₹6.39 lakh
84,Maruti Baleno,Maruti,2018,"84,237 km",Petrol,Manual,"EMI ₹8,809/m*",₹4.99 lakh
85,Hyundai Elite i20,Hyundai,2018,"1,23,137 km",Petrol,Manual,"EMI ₹8,141/m*",₹3.66 lakh
86,Tata TIAGO NRG,Tata,2022,"39,806 km",Petrol,Auto,"EMI ₹8,579/m*",₹4.86 lakh
87,Maruti Alto K10,Maruti,2015,"1,04,156 km",Petrol,Auto,"EMI ₹5,609/m*",₹2.13 lakh
88,Maruti Celerio,Maruti,2015,"1,03,178 km",Petrol,Manual,"EMI ₹7,215/m*",₹2.74 lakh
89,Maruti Baleno,Maruti,2022,"39,528 km",Petrol,Auto,"EMI ₹12,886/m*",₹7.30 lakh
90,Hyundai Grand i10,Hyundai,2017,"42,010 km",Petrol,Manual,"EMI ₹7,155/m*",₹3.66 lakh
91,Volkswagen Vento,Volkswagen,2015,"1,04,054 km",Diesel,Manual,"EMI ₹12,455/m*",₹3.75 lakh
92,Honda City,Honda,2021,"34,061 km",Petrol,Manual,"EMI ₹14,065/m*",₹7.97 lakh
