,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
393,Tata NEXON,Tata,2022,"30,316 km",Petrol,Manual,"EMI ₹12,745/m*",₹7.22 lakh
394,Toyota Etios,Toyota,2018,"2,21,769 km",Diesel,Manual,"EMI ₹7,852/m*",₹3.53 lakh
395,Audi Q3,Audi,2012,"2,40,658 km",Diesel,Auto,"EMI ₹7,852/m*",₹4.84 lakh
396,Toyota Innova Crysta,Toyota,2018,"1,16,207 km",Diesel,Manual,"EMI ₹21,742/m*",₹10.00 lakh
397,BMW X1,BMW,2024,"34,566 km",Petrol,Auto,"EMI ₹76,315/m*",₹44.57 lakh
398,MG HECTOR,MG,2020,"1,65,080 km",Diesel,Manual,"EMI ₹23,917/m*",₹11.00 lakh
399,Mahindra SCORPIO-N,Mahindra,2023,"25,796 km",Diesel,Manual,"EMI ₹27,687/m*",₹16.17 lakh
400,Tata Harrier,Tata,2021,"62,117 km",Diesel,Auto,"EMI ₹28,457/m*",₹16.62 lakh
401,Honda Mobilio,Honda,2015,"1,55,533 km",Diesel,Manual,"EMI ₹11,891/m*",₹3.58 lakh
402,Mahindra XUV300,Mahindra,2024,"79,778 km",Diesel,Manual,"EMI ₹20,975/m*",₹12.25 lakh
403,Hyundai VENUE,Hyundai,2023,"25,345 km",Petrol,Auto,"EMI ₹17,893/m*",₹10.45 lakh
404,MG HECTOR,MG,2019,"76,778 km",Diesel,Manual,"EMI ₹19,263/m*",₹11.25 lakh
405,Hyundai Creta,Hyundai,2023,"24,142 km",Diesel,Manual,"EMI ₹26,095/m*",₹15.24 lakh
406,Mahindra XUV300,Mahindra,2022,"1,02,667 km",Diesel,Manual,"EMI ₹17,394/m*",₹8.00 lakh
407,KIA SELTOS,KIA,2022,"27,841 km",Petrol,Manual,"EMI ₹18,681/m*",₹10.91 lakh
408,Mercedes Benz E Class,Mercedes,2012,"82,597 km",Diesel,Auto,"EMI ₹18,681/m*",₹9.03 lakh
409,Tata TIAGO EV,Tata,2023,"1,05,000 km",Electric,Auto,"EMI ₹13,324/m*",₹5.99 lakh
410,MG HECTOR PLUS,MG,2022,"79,435 km",Diesel,Manual,"EMI ₹23,971/m*",₹14.00 lakh
411,Mercedes Benz E Class,Mercedes,2019,"61,866 km",Diesel,Auto,"EMI ₹51,367/m*",₹30.00 lakh
412,MG HECTOR,MG,2024,"5,935 km",Diesel,Manual,"EMI ₹31,677/m*",₹18.50 lakh
413,Mahindra XUV300,Mahindra,2023,"31,889 km",Petrol,Manual,"EMI ₹13,963/m*",₹7.91 lakh
414,Audi A3,Audi,2014,"1,21,578 km",Diesel,Auto,"EMI ₹43,951/m*",₹9.43 lakh
415,Tata Harrier,Tata,2023,"82,259 km",Diesel,Auto,"EMI ₹27,396/m*",₹16.00 lakh
416,Toyota Fortuner,Toyota,2017,"2,56,000 km",Diesel,Auto,"EMI ₹41,311/m*",₹19.00 lakh
417,Tata Curvv EV,Tata,2024,"39,154 km",Electric,Auto,"EMI ₹32,224/m*",₹18.82 lakh
418,Tata Safari,Tata,2023,"77,542 km",Diesel,Auto,"EMI ₹34,245/m*",₹20.00 lakh
419,Mercedes Benz GLA Class,Mercedes,2018,"1,06,214 km",Diesel,Auto,"EMI ₹33,983/m*",₹15.63 lakh
420,Tata Safari,Tata,2024,"22,188 km",Diesel,Manual,"EMI ₹38,902/m*",₹22.72 lakh
421,MG HECTOR,MG,2023,"62,000 km",Diesel,Manual,"EMI ₹25,684/m*",₹15.00 lakh
422,Tata Safari,Tata,2024,"49,793 km",Diesel,Manual,"EMI ₹35,957/m*",₹21.00 lakh
423,Mahindra XUV700,Mahindra,2022,"67,280 km",Diesel,Auto,"EMI ₹27,345/m*",₹15.97 lakh
424,Mahindra XUV300,Mahindra,2023,"41,245 km",Diesel,Manual,"EMI ₹20,530/m*",₹11.99 lakh
425,Jeep Compass,Jeep,2020,"1,26,854 km",Diesel,Manual,"EMI ₹33,483/m*",₹15.40 lakh
426,Mahindra Scorpio,Mahindra,2018,"79,144 km",Diesel,Manual,"EMI ₹20,328/m*",₹10.68 lakh
427,Hyundai i20 Active,Hyundai,2019,"61,467 km",Petrol,Manual,"EMI ₹8,014/m*",₹4.54 lakh
428,Toyota Innova Crysta,Toyota,2021,"1,13,526 km",Diesel,Manual,"EMI ₹39,549/m*",₹18.19 lakh
429,Tata NEXON EV,Tata,2023,"48,860 km",Electric,Auto,"EMI ₹21,780/m*",₹12.72 lakh
430,KIA CARNIVAL,KIA,2020,"2,52,681 km",Diesel,Auto,"EMI ₹47,616/m*",₹21.90 lakh
431,Mercedes Benz Ml Class,Mercedes,2014,"2,46,866 km",Diesel,Auto,"EMI ₹48,612/m*",₹10.43 lakh
432,Hyundai i10,Hyundai,2013,"43,288 km",Petrol,Manual,"EMI ₹6,684/m*",₹1.42 lakh
433,Maruti Ciaz,Maruti,2018,"48,864 km",Petrol,Manual,"EMI ₹8,915/m*",₹5.05 lakh
434,Honda Brio,Honda,2013,"83,134 km",Petrol,Manual,"EMI ₹5,418/m*",₹1.15 lakh
435,Toyota Innova,Toyota,2012,"1,95,979 km",Diesel,Manual,"EMI ₹5,418/m*",₹4.10 lakh
436,Honda City,Honda,2015,"1,27,787 km",Diesel,Manual,"EMI ₹9,665/m*",₹2.91 lakh
437,Volkswagen Jetta,Volkswagen,2014,"1,65,444 km",Diesel,Auto,"EMI ₹20,147/m*",₹4.28 lakh
438,Maruti New Wagon-R,Maruti,2019,"58,372 km",Petrol,Manual,"EMI ₹5,066/m*",₹2.87 lakh
439,KIA SELTOS,KIA,2023,"40,514 km",Diesel,Manual,"EMI ₹19,982/m*",₹11.67 lakh
440,Mahindra XUV700,Mahindra,2021,"1,11,228 km",Petrol,Auto,"EMI ₹30,613/m*",₹14.08 lakh
441,Maruti Swift,Maruti,2014,"75,496 km",Diesel,Manual,"EMI ₹12,004/m*",₹2.55 lakh
442,Maruti Ritz,Maruti,2013,"78,840 km",Diesel,Manual,"EMI ₹14,127/m*",₹1.59 lakh
443,Maruti Alto K10,Maruti,2014,"94,403 km",Petrol,Manual,"EMI ₹5,414/m*",₹1.63 lakh
444,MG HECTOR,MG,2019,"84,802 km",Diesel,Manual,"EMI ₹17,550/m*",₹10.25 lakh
